Reactor_Name,Production_Potential,Production_Rate,Lag_Time,R_squared
Acetate,29.798,6.83,0.0,0.969
Reactor P1,26.656,0.007,439.54,0.998
Reactor P3,25.629,0.006,272.683,0.994
Reactor P1,7.344,0.001,904.272,0.997
Reactor P3,5.674,0.001,411.791,0.991
