Sample_Name,Methane_Production_Potential,Methane_Production_Rate,Lag_Time,R_squared
Sample 0,452.51845423025867,80.38756755013118,0.0,0.969807193305494
Sample 1,208.23760875049987,55.027661306788005,0.0,0.9600963996219526
Sample 2,292.86550481377475,61.913596929887746,0.0,0.9888440040556169
Sample 4,466.2394002940604,97.77726653953384,0.0,0.9896751769694762
Sample FW,255.21416233513278,55.940843131436,0.0,0.8962386876601075
