Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
25/04_12:40,0.0,0.0,0.0,0.0
25/04_12:41,1.0,0.0167,0.0,0.0
25/04_12:42,1.9304,0.0322,0.0,0.0
25/04_12:43,2.9306,0.0488,0.0,0.0
25/04_12:44,3.9306,0.0655,0.0,0.0
25/04_12:45,4.9305,0.0822,0.0,0.0
25/04_12:46,5.9306,0.0988,0.0,0.0
25/04_12:47,6.9306,0.1155,0.0,0.0
25/04_12:48,7.9306,0.1322,0.0,0.0
25/04_12:49,8.9305,0.1488,0.0,0.0
25/04_12:50,9.9307,0.1655,0.0,0.0
25/04_12:51,10.9305,0.1822,0.0,0.0
25/04_12:52,11.9306,0.1988,0.0,0.0
25/04_12:53,12.9305,0.2155,0.0,0.0
25/04_12:54,13.9305,0.2322,0.0,0.0
25/04_12:55,14.9308,0.2488,0.0,0.0
25/04_12:56,15.931,0.2655,0.0,0.0
25/04_12:57,16.9102,0.2818,0.0,0.0
25/04_13:57,76.9161,1.2819,0.5,0.5
25/04_14:57,136.9198,2.282,0.1,0.6
25/04_15:57,196.9213,3.282,0.3,0.9
25/04_16:57,256.9222,4.282,0.5,1.4
25/04_17:57,316.9228,5.282,0.1,1.5
25/04_18:57,376.9234,6.2821,0.2,1.7
25/04_19:57,436.9237,7.2821,0.5,2.2
25/04_20:57,496.9244,8.2821,0.2,2.4
25/04_21:57,556.9249,9.2821,0.2,2.6
25/04_22:57,616.9285,10.2821,0.2,2.8
25/04_23:57,676.9308,11.2822,0.1,2.9
26/04_00:57,736.931,12.2822,0.1,3.0
26/04_01:57,796.9308,13.2822,0.5,3.5
26/04_02:57,856.931,14.2822,0.1,3.6
26/04_03:57,916.931,15.2822,0.5,4.1
26/04_04:57,976.9311,16.2822,0.3,4.4
26/04_05:57,1036.9308,17.2822,0.2,4.6
26/04_06:57,1096.9311,18.2822,0.3,4.9
26/04_07:57,1156.9334,19.2822,0.2,5.1
26/04_08:57,1216.9384,20.2823,0.1,5.2
26/04_09:57,1276.9401,21.2823,0.5,5.7
26/04_10:57,1336.9403,22.2823,0.1,5.8
26/04_11:57,1396.9407,23.2823,0.5,6.3
26/04_12:37,1437.0422,23.9507,0.2,6.5
26/04_12:48,1448.515,24.1419,0.3,6.8
26/04_13:48,1508.5152,25.1419,0.8,7.6
26/04_14:16,1536.4957,25.6083,0.4,8.0
26/04_15:16,1596.4959,26.6083,0.3,8.3
26/04_16:16,1656.4958,27.6083,0.5,8.8
26/04_17:16,1716.498,28.6083,0.5,9.3
26/04_18:16,1776.5002,29.6083,0.0,9.3
26/04_19:16,1836.5009,30.6083,0.3,9.6
26/04_20:16,1896.5009,31.6083,0.3,9.9
26/04_21:16,1956.5012,32.6084,0.5,10.4
26/04_22:16,2016.5013,33.6084,0.1,10.5
26/04_23:16,2076.5098,34.6085,0.0,10.5
27/04_00:16,2136.5095,35.6085,0.3,10.8
27/04_01:16,2196.5097,36.6085,0.5,11.3
27/04_02:16,2256.5105,37.6085,1.0,12.3
27/04_03:16,2316.5112,38.6085,0.5,12.8
27/04_04:16,2376.5114,39.6085,0.4,13.2
27/04_05:16,2436.5115,40.6085,0.5,13.7
27/04_06:16,2496.5115,41.6085,0.1,13.8
27/04_07:16,2556.5116,42.6085,0.3,14.1
27/04_08:16,2616.5116,43.6085,0.6,14.7
27/04_09:16,2676.5124,44.6085,0.4,15.1
27/04_10:16,2736.5119,45.6085,0.3,15.4
27/04_11:16,2796.5167,46.6086,0.0,15.4
27/04_12:16,2856.5368,47.6089,0.5,15.9
27/04_13:16,2916.5385,48.609,0.5,16.4
27/04_14:16,2976.5394,49.609,0.5,16.9
27/04_15:16,3036.5414,50.609,0.3,17.2
27/04_16:16,3096.5408,51.609,0.3,17.5
27/04_17:16,3156.5414,52.609,0.3,17.8
27/04_18:16,3216.542,53.609,0.0,17.8
27/04_19:16,3276.5424,54.609,0.2,18.0
27/04_20:16,3336.5377,55.609,0.1,18.1
27/04_21:16,3396.5325,56.6089,0.2,18.3
27/04_22:16,3456.5314,57.6089,0.1,18.4
27/04_23:16,3516.5311,58.6089,0.5,18.9
28/04_00:16,3576.5312,59.6089,0.1,19.0
28/04_01:16,3636.5312,60.6089,0.1,19.1
28/04_02:16,3696.531,61.6088,0.3,19.4
28/04_03:16,3756.531,62.6088,0.1,19.5
28/04_04:16,3816.531,63.6089,0.0,19.5
28/04_05:16,3876.5352,64.6089,0.5,20.0
28/04_06:16,3936.5403,65.609,0.3,20.3
28/04_07:16,3996.5416,66.609,0.0,20.3
28/04_08:16,4056.5423,67.609,0.1,20.4
28/04_09:16,4116.5426,68.609,0.3,20.7
28/04_10:16,4176.5429,69.609,0.4,21.1
28/04_11:16,4236.543,70.609,0.2,21.3
28/04_12:16,4296.5488,71.6091,0.2,21.5
28/04_13:16,4356.549,72.6092,0.1,21.6
28/04_14:16,4416.5492,73.6092,0.4,22.0
28/04_15:16,4476.5507,74.6092,0.2,22.2
28/04_16:16,4536.5514,75.6092,0.3,22.5
28/04_17:16,4596.5515,76.6092,0.5,23.0
28/04_18:16,4656.555,77.6092,0.1,23.1
28/04_19:16,4716.555,78.6093,0.2,23.3
28/04_20:16,4776.5549,79.6092,0.0,23.3
28/04_21:16,4836.5551,80.6093,0.0,23.3
28/04_22:16,4896.5549,81.6092,0.3,23.6
28/04_23:16,4956.572,82.6095,0.3,23.9
29/04_00:16,5016.5652,83.6094,0.0,23.9
29/04_01:16,5076.5626,84.6094,0.0,23.9
29/04_02:16,5136.5618,85.6094,0.3,24.2
29/04_03:16,5196.5615,86.6094,0.3,24.5
29/04_04:16,5256.5613,87.6094,0.2,24.7
29/04_05:16,5316.5615,88.6094,0.1,24.8
29/04_06:16,5376.5614,89.6094,0.0,24.8
29/04_07:16,5436.5616,90.6094,0.0,24.8
29/04_08:16,5496.5622,91.6094,0.0,24.8
29/04_09:16,5556.5691,92.6095,0.0,24.8
29/04_10:16,5616.5717,93.6095,0.0,24.8
29/04_11:16,5676.5728,94.6095,0.0,24.8
