Test,FStatistic,pValue
Lactate,484.4127325066108,1.6859291804798186e-36
Acetate,212.78028256083155,3.640879250205038e-27
Propionate,34.42105317762119,1.5754077845279746e-10
Ethanol,301.9432797941904,4.664618969853245e-31
