Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,2.177841292713066,1.5335824369146485,3.0124654221606186,0.9984858856419578,0.634866424498594,0.5260874651080083,0.16203936872857022,4.375,2.0
24,0.7095903640515174,0.009147686264964526,1.6955458263733398,0.7460186955933131,0.5422458723224235,0.4917340859972624,0.8468761385922956,4.45,2.28
48,0,0,1.7843075843195793,1.047391600652453,0.9065260754945383,0.6304815024097761,0.9554262591630819,4.37,2.74
72,0,0,0.6824151325064269,1.6020275794174976,1.0788566578058914,0.7878783310708763,0.8103749798901567,4.11,2.79
