Αριθμός,Κάψα (g),m_sl (g),v_sl (ml),Ζύγισμα TS (g),TS (g/l),Ζύγισμα VS (g),VS (g/l),VS/TS
5,14.5440,5.7926,5.4958254,14.8122,46.300452,14.7419,34.164279,0.738
6,18.6062,8.6804,8.2356736,19.0077,46.253629,18.8984,33.662043,0.728
