Reactor_Name,Acetate,Hydrolysate,Ratio
Reactor 0,443.52000000000004,1.265,0.2852
Reactor 1,206.64,1.883,0.9112
Reactor 2,122.27999999999999,1.9,1.5538
Reactor 4,409.26,1.028,0.2512
Reactor FW,257.88,1.986,0.7701
