Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
25/04_12:44,0.0,0.0,0.0,0.0
25/04_12:45,0.9999,0.0167,0.0,0.0
25/04_12:46,2.0001,0.0333,0.0,0.0
25/04_12:47,3.0001,0.05,0.0,0.0
25/04_12:48,4.0,0.0667,0.0,0.0
25/04_12:49,5.0,0.0833,0.0,0.0
25/04_12:50,6.0001,0.1,0.0,0.0
25/04_12:51,6.9999,0.1167,0.0,0.0
25/04_12:52,8.0001,0.1333,0.0,0.0
25/04_12:53,9.0,0.15,0.0,0.0
25/04_12:54,10.0,0.1667,0.0,0.0
25/04_12:55,11.0003,0.1833,0.0,0.0
25/04_12:56,12.0004,0.2,0.0,0.0
25/04_12:57,12.9796,0.2163,0.0,0.0
25/04_13:57,72.9856,1.2164,0.5,0.5
25/04_14:57,132.9892,2.2165,0.0,0.5
25/04_15:57,192.9907,3.2165,0.4,0.9
25/04_16:57,252.9916,4.2165,0.3,1.2
25/04_17:57,312.9922,5.2165,0.5,1.7
25/04_18:57,372.9928,6.2165,0.4,2.1
25/04_19:57,432.9932,7.2166,0.5,2.6
25/04_20:57,492.9939,8.2166,0.4,3.0
25/04_21:57,552.9943,9.2166,0.4,3.4
25/04_22:57,612.998,10.2166,0.4,3.8
25/04_23:57,673.0003,11.2167,0.4,4.2
26/04_00:57,733.0004,12.2167,0.4,4.6
26/04_01:57,793.0003,13.2167,0.4,5.0
26/04_02:57,853.0004,14.2167,0.3,5.3
26/04_03:57,913.0005,15.2167,0.3,5.6
26/04_04:57,973.0005,16.2167,0.3,5.9
26/04_05:57,1033.0002,17.2167,0.3,6.2
26/04_06:57,1093.0006,18.2167,0.2,6.4
26/04_07:57,1153.0028,19.2167,0.2,6.6
26/04_08:57,1213.0078,20.2168,0.2,6.8
26/04_09:57,1273.0096,21.2168,0.2,7.0
26/04_10:57,1333.0098,22.2168,0.2,7.2
26/04_11:57,1393.0101,23.2168,0.2,7.4
26/04_12:37,1433.1117,23.8852,0.3,7.7
26/04_12:48,1444.5844,24.0764,0.3,8.0
26/04_13:48,1504.5847,25.0764,0.8,8.8
26/04_14:16,1532.5652,25.5428,1.0,9.8
26/04_15:16,1592.5654,26.5428,0.0,9.8
26/04_16:16,1652.5652,27.5428,0.0,9.8
26/04_17:16,1712.5675,28.5428,0.3,10.1
26/04_18:16,1772.5697,29.5428,0.4,10.5
26/04_19:16,1832.5704,30.5428,0.4,10.9
26/04_20:16,1892.5704,31.5428,0.3,11.2
26/04_21:16,1952.5706,32.5428,0.0,11.2
26/04_22:16,2012.5707,33.5428,0.0,11.2
26/04_23:16,2072.5792,34.543,0.1,11.3
27/04_00:16,2132.579,35.543,0.2,11.5
27/04_01:16,2192.5792,36.543,0.2,11.7
27/04_02:16,2252.58,37.543,0.5,12.2
27/04_03:16,2312.5806,38.543,0.4,12.6
27/04_04:16,2372.5809,39.543,0.2,12.8
27/04_05:16,2432.581,40.543,0.2,13.0
27/04_06:16,2492.581,41.543,0.2,13.2
27/04_07:16,2552.5811,42.543,0.3,13.5
27/04_08:16,2612.581,43.543,0.3,13.8
27/04_09:16,2672.5818,44.543,0.4,14.2
27/04_10:16,2732.5814,45.543,0.2,14.4
27/04_11:16,2792.5862,46.5431,0.0,14.4
27/04_12:16,2852.6063,47.5434,0.4,14.8
27/04_13:16,2912.608,48.5435,0.4,15.2
27/04_14:16,2972.6088,49.5435,0.0,15.2
27/04_15:16,3032.6108,50.5435,0.1,15.3
27/04_16:16,3092.6102,51.5435,0.1,15.4
27/04_17:16,3152.6109,52.5435,0.5,15.9
27/04_18:16,3212.6115,53.5435,0.2,16.1
27/04_19:16,3272.6119,54.5435,0.2,16.3
27/04_20:16,3332.6072,55.5435,0.4,16.7
27/04_21:16,3392.602,56.5434,0.0,16.7
27/04_22:16,3452.6008,57.5433,0.0,16.7
27/04_23:16,3512.6006,58.5433,0.4,17.1
28/04_00:16,3572.6006,59.5433,0.2,17.3
28/04_01:16,3632.6006,60.5433,0.2,17.5
28/04_02:16,3692.6004,61.5433,0.1,17.6
28/04_03:16,3752.6004,62.5433,0.0,17.6
28/04_04:16,3812.6005,63.5433,0.0,17.6
28/04_05:16,3872.6047,64.5434,0.3,17.9
28/04_06:16,3932.6097,65.5435,0.5,18.4
28/04_07:16,3992.6111,66.5435,0.2,18.6
28/04_08:16,4052.6118,67.5435,0.1,18.7
28/04_09:16,4112.612,68.5435,0.3,19.0
28/04_10:16,4172.6123,69.5435,0.5,19.5
28/04_11:16,4232.6124,70.5435,0.2,19.7
28/04_12:16,4292.6183,71.5436,0.1,19.8
28/04_13:16,4352.6184,72.5436,0.2,20.0
28/04_14:16,4412.6187,73.5436,0.2,20.2
28/04_15:16,4472.6202,74.5437,0.2,20.4
28/04_16:16,4532.6208,75.5437,0.5,20.9
28/04_17:16,4592.621,76.5437,0.3,21.2
28/04_18:16,4652.6244,77.5437,0.3,21.5
28/04_19:16,4712.6245,78.5437,0.6,22.1
28/04_20:16,4772.6244,79.5437,0.0,22.1
28/04_21:16,4832.6245,80.5437,0.0,22.1
28/04_22:16,4892.6243,81.5437,0.3,22.4
28/04_23:16,4952.6414,82.544,0.1,22.5
29/04_00:16,5012.6347,83.5439,0.1,22.6
29/04_01:16,5072.632,84.5439,0.0,22.6
29/04_02:16,5132.6313,85.5439,0.0,22.6
29/04_03:16,5192.6309,86.5438,0.0,22.6
29/04_04:16,5252.6308,87.5438,0.0,22.6
29/04_05:16,5312.6309,88.5438,0.0,22.6
29/04_06:16,5372.6308,89.5438,0.0,22.6
29/04_07:16,5432.6311,90.5439,0.0,22.6
29/04_08:16,5492.6317,91.5439,0.0,22.6
29/04_09:16,5552.6386,92.544,0.0,22.6
29/04_10:16,5612.6412,93.544,0.0,22.6
29/04_11:16,5672.6423,94.544,0.0,22.6
