Mix_Amount,Lactate,Acetate,Propionate,Ethanol
0,2.0828383311064322e-6,0.9171634996122239,2.222620557202615e-13,9.985865951009108e-25
1,1.4538775631634837e-10,0.4600069592363103,1.6857966932207926e-15,1.6054315499249485e-27
2,5.34222511384624e-19,3.5518032181859427e-12,0.00022313771196328478,9.486511450915691e-33
4,2.7659249422535656e-14,8.649121278795358e-26,2.0372540842732902e-20,2.876390012280425e-26
8,2.1760821999296553e-25,6.637543548063293e-25,6.943327665382171e-21,6.434186401999237e-26
