Reactor_Name,Production_Potential,Production_Rate,Lag_Time,R_squared
Reactor 0,95.756,1.265,4.494,0.998
Reactor 1,127.283,1.883,2.549,0.997
Reactor 2,51.936,1.9,1.043,0.99
Reactor 4,85.787,1.028,0.0,0.996
FW 1,3.428,1.986,0.086,0.996
