Sample_Name,Production_Potential,Production_Rate,Lag_Time,R_squared
Sample 0,37.583,0.434,3.763,0.991
Sample 1,104.28,1.075,4.507,0.995
Sample 2,78.458,1.144,0.0,0.927
Sample 4,83.675,0.797,0.265,0.986
FW,767.403,1.167,0.0,0.464
FW,26.719,0.571,0.0,0.982
