Reactor,Acetate,Hydrolysate,Ratio
Reactor 0,329.341,0.787,0.239
Reactor 1,419.162,1.2,0.286
Reactor 2,223.881,176.471,78.824
Reactor 4,329.341,9.009,2.735
Reactor FW,299.401,6.006,2.006
