Sample_Name,Methane_Potential,SMA,Lag_Time,R_sq
Sample 0,20.054,0.182,2.585,0.994
Sample 1,23.518,0.329,5.575,0.997
Sample 2,25.033,0.258,6.529,0.995
Sample 4,17.775,0.175,4.05,0.997
Sample FW,14.367,0.182,1.903,0.998
