Reactor,Acetate,Hydrolysate,Ratio
Reactor 0,1025.641,0.1,0.01
Reactor 1,643.564,6.024,0.936
Reactor 2,555.556,6.173,1.111
Reactor 4,1081.081,0.15,0.014
Reactor FW,705.882,0.1,0.014
