Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,1.2998465067044396,0.9690483142727049,2.216275500231012,0.7374066238970796,0.4764836335100299,0.3816660707867596,0.043479897770273536,4.4,1.598
24,0.05356098107104398,0,1.7653863980997737,1.1681610194776433,0.6075922529414081,0.4866346998321788,0.49108650090491535,4.24,2.62
48,0,0,1.5477940523154565,1.151064107063291,0.9406680743792345,0.6097357311918132,0.3928335028555426,4.19,2.65
72,0,0,0.04867051828256981,1.8826770948751415,1.025805294305632,0.7063173489727439,0.38480942709732147,3.94,2.62
