Sample_Name,Acetate,Hydrolysate,Ratio
Sample 0,459.84,0.043,0.0094
Sample 1,326.88,0.108,0.033
Sample 2,374.04,0.114,0.0305
Sample 4,579.0,0.08,0.0138
Sample FW,294.06,0.054,0.0184
