Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
25/04_12:36,0.0,0.0,0.0,0.0
25/04_12:36,0.0942,0.0016,0.0,0.0
25/04_12:37,1.0941,0.0182,0.0,0.0
25/04_12:38,2.0941,0.0349,0.0,0.0
25/04_12:39,2.6864,0.0448,0.0,0.0
25/04_12:39,2.9155,0.0486,0.0,0.0
25/04_12:40,3.9155,0.0653,0.0,0.0
25/04_12:41,4.9155,0.0819,0.0,0.0
25/04_12:42,5.8459,0.0974,0.0,0.0
25/04_12:43,6.8461,0.1141,0.0,0.0
25/04_12:44,7.846,0.1308,0.0,0.0
25/04_12:45,8.846,0.1474,0.0,0.0
25/04_12:46,9.8461,0.1641,0.0,0.0
25/04_12:47,10.8461,0.1808,0.0,0.0
25/04_12:48,11.8461,0.1974,0.0,0.0
25/04_12:49,12.846,0.2141,0.0,0.0
25/04_12:50,13.8462,0.2308,0.0,0.0
25/04_12:51,14.846,0.2474,0.0,0.0
25/04_12:52,15.8461,0.2641,0.0,0.0
25/04_12:53,16.846,0.2808,0.0,0.0
25/04_12:54,17.846,0.2974,0.0,0.0
25/04_12:55,18.8464,0.3141,0.0,0.0
25/04_12:56,19.8465,0.3308,0.0,0.0
25/04_12:57,20.8256,0.3471,0.05,0.05
25/04_13:57,80.8316,1.3472,0.05,0.1
25/04_14:57,140.8353,2.3473,0.05,0.15
25/04_15:57,200.8368,3.3473,0.05,0.2
25/04_16:57,260.8376,4.3473,0.05,0.25
25/04_17:57,320.8383,5.3473,0.05,0.3
25/04_18:57,380.8389,6.3473,0.05,0.35
25/04_19:57,440.8392,7.3473,0.05,0.4
25/04_20:57,500.84,8.3473,0.05,0.45
25/04_21:57,560.8404,9.3473,0.05,0.5
25/04_22:57,620.844,10.3474,0.05,0.55
25/04_23:57,680.8463,11.3474,0.05,0.6
26/04_00:57,740.8465,12.3474,0.05,0.65
26/04_01:57,800.8464,13.3474,0.05,0.7
26/04_02:57,860.8465,14.3474,0.05,0.75
26/04_03:57,920.8466,15.3474,0.05,0.8
26/04_04:57,980.8466,16.3474,0.05,0.85
26/04_05:57,1040.8462,17.3474,0.05,0.9
26/04_06:57,1100.8466,18.3474,0.05,0.95
26/04_07:57,1160.8489,19.3475,0.05,1.0
26/04_08:57,1220.8539,20.3476,0.05,1.05
26/04_09:57,1280.8556,21.3476,0.05,1.1
26/04_10:57,1340.8558,22.3476,0.05,1.15
26/04_11:57,1400.8562,23.3476,0.05,1.2
26/04_12:37,1440.9577,24.016,0.05,1.25
26/04_12:48,1452.4305,24.2072,0.05,1.3
26/04_13:48,1512.4307,25.2072,0.05,1.35
26/04_14:16,1540.4112,25.6735,0.05,1.4
26/04_15:16,1600.4114,26.6735,0.1,1.5
26/04_16:16,1660.4113,27.6735,0.1,1.6
26/04_17:16,1720.4136,28.6736,0.1,1.7
26/04_18:16,1780.4157,29.6736,0.1,1.8
26/04_19:16,1840.4164,30.6736,0.1,1.9
26/04_20:16,1900.4164,31.6736,0.0,1.9
26/04_21:16,1960.4166,32.6736,0.1,2.0
26/04_22:16,2020.4168,33.6736,0.1,2.1
26/04_23:16,2080.4253,34.6738,0.0,2.1
27/04_00:16,2140.425,35.6738,0.0,2.1
27/04_01:16,2200.4252,36.6738,0.0,2.1
27/04_02:16,2260.426,37.6738,0.0,2.1
27/04_03:16,2320.4266,38.6738,0.1,2.2
27/04_04:16,2380.4269,39.6738,0.1,2.3
27/04_05:16,2440.427,40.6738,0.1,2.4
27/04_06:16,2500.427,41.6738,0.0,2.4
27/04_07:16,2560.4271,42.6738,0.0,2.4
27/04_08:16,2620.427,43.6738,0.1,2.5
27/04_09:16,2680.4279,44.6738,0.0,2.5
27/04_10:16,2740.4274,45.6738,0.0,2.5
27/04_11:16,2800.4322,46.6739,0.0,2.5
27/04_12:16,2860.4524,47.6742,0.0,2.5
27/04_13:16,2920.454,48.6742,0.0,2.5
27/04_14:16,2980.4549,49.6742,0.0,2.5
27/04_15:16,3040.4568,50.6743,0.1,2.6
27/04_16:16,3100.4563,51.6743,0.1,2.7
27/04_17:16,3160.4569,52.6743,0.1,2.8
27/04_18:16,3220.4576,53.6743,0.1,2.9
27/04_19:16,3280.458,54.6743,0.1,3.0
27/04_20:16,3340.4532,55.6742,0.1,3.1
27/04_21:16,3400.448,56.6741,0.0,3.1
27/04_22:16,3460.4469,57.6741,0.0,3.1
27/04_23:16,3520.4466,58.6741,0.0,3.1
28/04_00:16,3580.4466,59.6741,0.15,3.25
28/04_01:16,3640.4467,60.6741,0.15,3.4
28/04_02:16,3700.4465,61.6741,0.1,3.5
28/04_03:16,3760.4465,62.6741,0.0,3.5
28/04_04:16,3820.4466,63.6741,0.0,3.5
28/04_05:16,3880.4507,64.6742,0.1,3.6
28/04_06:16,3940.4558,65.6743,0.1,3.7
28/04_07:16,4000.4571,66.6743,0.1,3.8
28/04_08:16,4060.4578,67.6743,0.0,3.8
28/04_09:16,4120.4581,68.6743,0.0,3.8
28/04_10:16,4180.4584,69.6743,0.0,3.8
28/04_11:16,4240.4585,70.6743,0.0,3.8
28/04_12:16,4300.4643,71.6744,0.1,3.9
28/04_13:16,4360.4645,72.6744,0.1,4.0
28/04_14:16,4420.4647,73.6744,0.1,4.1
28/04_15:16,4480.4662,74.6744,0.1,4.2
28/04_16:16,4540.4669,75.6744,0.1,4.3
28/04_17:16,4600.467,76.6745,0.0,4.3
28/04_18:16,4660.4705,77.6745,0.0,4.3
28/04_19:16,4720.4705,78.6745,0.2,4.5
28/04_20:16,4780.4704,79.6745,0.0,4.5
28/04_21:16,4840.4706,80.6745,0.1,4.6
28/04_22:16,4900.4704,81.6745,0.0,4.6
28/04_23:16,4960.4875,82.6748,0.0,4.6
29/04_00:16,5020.4807,83.6747,0.0,4.6
29/04_01:16,5080.4781,84.6746,0.1,4.7
29/04_02:16,5140.4774,85.6746,0.0,4.7
