Sample_Name,Methane_Potential,SMA,Lag_Time,R_sq
Sample 0,2.844,3.894,0.185,0.998
Sample 1,2.777,0.82,0.0,0.843
Sample 2,3.0,0.485,0.0,0.921
Sample 4,2.258,1.624,0.194,0.999
Sample FW,3.441,1.023,0.586,0.993
