Reactor_Name,Methane_Potential,SMA,Lag_Time,R_sq
Reactor 0,7.383,0.066,13.348,0.991
Reactor 1,10.429,0.108,14.096,0.991
Reactor 2,7.132,0.125,0.0,0.984
Reactor 4,5.801,0.086,2.023,0.972
FW 1,2.2,0.086,15.935,0.994
