Reactor_Name,Acetate,Hydrolysate,Ratio
Reactor 0,459.84,0.148,0.0322
Reactor 1,326.88,0.29,0.0887
Reactor 2,374.04,0.187,0.05
Reactor 4,579.0,0.181,0.0313
Reactor FW,294.06,0.081,0.0275
