Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
02/04_10:54,0.0,0.0,0.0,0.0
02/04_12:54,120.0074,2.0001,0.05,0.05
02/04_13:24,150.0073,2.5001,0.0,0.05
02/04_13:54,180.0076,3.0001,0.1,0.15
02/04_14:24,210.0076,3.5001,0.1,0.25
02/04_14:54,240.0075,4.0001,0.0,0.25
02/04_15:24,270.0074,4.5001,0.0,0.25
02/04_15:54,300.0073,5.0001,0.1,0.35
02/04_16:24,330.0076,5.5001,0.2,0.55
02/04_16:54,360.0076,6.0001,0.1,0.65
02/04_17:24,390.0073,6.5001,0.0,0.65
02/04_17:54,420.0141,7.0002,0.1,0.75
02/04_19:54,540.0146,9.0002,0.2,0.95
02/04_21:54,660.0162,11.0003,0.1,1.05
02/04_23:54,780.0205,13.0003,0.1,1.15
03/04_01:54,900.0205,15.0003,0.1,1.25
03/04_03:54,1020.0203,17.0003,0.0,1.25
03/04_05:54,1140.0253,19.0004,0.1,1.35
03/04_07:54,1260.0272,21.0005,0.2,1.55
03/04_09:54,1380.0273,23.0005,0.1,1.65
03/04_12:54,1560.0362,26.0006,0.2,1.85
03/04_13:54,1620.036,27.0006,0.1,1.95
03/04_14:24,1650.037,27.5006,0.1,2.05
03/04_14:54,1680.7956,28.0133,0.0,2.05
03/04_15:26,1712.8415,28.5474,0.0,2.05
03/04_16:29,1775.1124,29.5852,0.0,2.05
03/04_17:29,1835.1168,30.5853,0.0,2.05
03/04_18:29,1895.1168,31.5853,0.0,2.05
03/04_20:29,2015.1168,33.5853,0.0,2.05
03/04_21:29,2075.117,34.5853,0.0,2.05
03/04_22:29,2135.1168,35.5853,0.0,2.05
03/04_23:29,2195.1234,36.5854,0.0,2.05
04/04_00:29,2255.1235,37.5854,0.0,2.05
04/04_01:29,2315.1236,38.5854,0.0,2.05
04/04_02:29,2375.1236,39.5854,0.0,2.05
04/04_03:29,2435.1237,40.5854,0.0,2.05
04/04_04:29,2495.1236,41.5854,0.0,2.05
04/04_05:29,2555.1238,42.5854,0.0,2.05
04/04_06:29,2615.1235,43.5854,0.0,2.05
04/04_07:29,2675.1235,44.5854,0.0,2.05
04/04_08:29,2735.1276,45.5855,0.0,2.05
04/04_09:29,2795.1321,46.5855,0.0,2.05
04/04_10:29,2855.1336,47.5856,0.0,2.05
04/04_11:29,2915.1339,48.5856,0.0,2.05
04/04_12:29,2975.134,49.5856,0.0,2.05
04/04_13:29,3035.134,50.5856,0.0,2.05
04/04_14:29,3095.1341,51.5856,0.0,2.05
04/04_15:29,3155.1342,52.5856,0.0,2.05
04/04_16:29,3215.134,53.5856,0.0,2.05
04/04_17:29,3275.1482,54.5858,0.0,2.05
