Reactor_Name,Methane_Potential,SMA,Lag_Time,R_sq
Reactor 0,3.587,0.061,5.994,0.992
Reactor 1,7.296,0.17,3.652,0.979
Reactor 2,4.633,0.121,1.108,0.991
Reactor 4,3.808,0.11,1.948,0.988
FW 1,1.348,0.064,1.174,0.984
