Reactor_Name,Production_Potential,Production_Rate,Lag_Time,R_squared
Reactor 0,45.252,0.014,0.0,0.988
Reactor 1,59.401,0.031,6.06,0.994
Reactor 2,55.885,0.025,169.114,0.997
Reactor 4,37.665,0.012,0.0,0.974
FW 1,21.963,0.021,70.621,0.998
