Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,1.75338e+5,2.63972e+5,5.87314e+5,1123.01489,519.67377,379.41779,1.37010e+4,4.40,1.598
24,1.21446e+4,0,4.65522e+5,1778.46887,662.85474,490.69052,6.44077e+4,4.24,2.62
48,0,0,4.06747e+5,1752.45349,1026.59985,621.18463,5.32772e+4,4.19,2.65
72,0,0,1810.94678,2865.70654,1119.57642,723.56665,5.23682e+4,3.94,2.62
