Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,1.5130295180765676,1.1239953889385383,2.5518508399379227,0.8491263582366944,0.5462295859548623,0.43592268151618263,0.056919562612838565,4.4,1.572
24,0.02802607736462268,0,1.5713506681593632,1.056982949997437,0.545806173362916,0.4451037444212906,0.4551414662652275,4.18,2.59
48,0,0,1.476531864922818,1.1358468154795938,0.9162272784294909,0.5865807027357962,0.3862588806061223,4.14,2.61
72,0,0,0.046473504638021114,1.9508385218073634,1.1229030775246114,0.7176320235609971,0.3664652776659032,3.92,2.63
