Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,1.11883e+5,1.86279e+5,4.69240e+5,1094.86902,384.82455,303.06824,1.21589e+4,4.39,1.361
24,4.50656e+4,0,3.31005e+5,1821.96179,693.15979,437.3807,6.61763e+4,4.25,2.16
48,2.68351e+4,0,1.89136e+5,1969.05225,824.16034,505.49893,6.22320e+4,4.19,2.25
72,0,0,1.74043e+4,2356.08276,1082.22473,596.69598,6.10121e+4,4.04,2.16
