Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol
0,2.59E+05,3.77E+05,7.83E+05,1664.23022,734.13501,525.50177,3.16E+04
1,2.36E+05,3.37E+05,7.00E+05,1323.98901,720.08173,474.34052,1.86E+04
2,2.79E+05,3.37E+05,6.47E+05,1302.66394,592.94244,451.06616,1.62E+04
3,2.74E+05,3.43E+05,6.40E+05,1286.83582,584.00891,451.36359,1.55E+04
4,2.74E+05,3.58E+05,6.66E+05,1287.08752,594.7854,458.21854,1.50E+04
5,2.79E+05,3.67E+05,6.65E+05,1281.9126,585.75012,466.4223,1.46E+04
6,2.35E+05,3.20E+05,5.56E+05,1133.43481,532.49994,419.74509,1.84E+04
24,1.61E+05,8263.26855,5.47E+05,1508.52087,685.29639,599.16266,7.49E+04
26,3.43E+04,1.74E+04,497387.2,1855.09375,762.00916,618.21094,7.65E+04
28,2.08E+04,0,424911.2,1625.85071,702.23755,562.25879,6.08E+04
46,1.22E+04,0,424479.8,1546.89233,1083.46765,679.21783,5.55E+04
48,1.22E+04,0,437426.3,1545.38989,1161.0957,708.0155,6.31E+04
50,1.46E+04,0,423957.4,1.47E+03,1200.20569,724.4881,5.40E+04
70,0,0,378496.3,1201.35999,1390.53125,752.79211,4.54E+04
72,0,0,351582,1095.57202,1211.87817,704.30536,3.28E+04
74,0,0,396411.9,1191.29431,1480.43628,811.94141,4.39E+04
94,0,0,401889.4,941.83917,1763.89075,917.44592,3.62E+04
96,0,0,422100.1,936.25366,1862.53564,976.53821,3.39E+04
98,0,0,375159.5,799.48657,1708.92297,886.84436,3.19E+04
167,0,0,272119.7,227.09610,2183.46533,1293.09949,2.06514E+04
171,0,0,295354.1,595.96912,2096.84985,1274.80273,2.04879E+04
