Δείγμα,Abs_Init,Abs_COD,COD (mg/l)
s0,0.431,0.418,19513.423
s1,0.365,0.352,16371.285
s2,0.212,0.199,9087.2399
s4,0.192,0.179,8135.0771
blank,0.013,0.,
