Δείγμα,Abs_Init,Abs_COD,COD (mg/l)
t0,0.229,0.206,23551.242
t1,0.211,0.188,21408.876
t2,0.210,0.187,21289.855
t4,0.207,0.184,20932.794
s_feed50,0.211,0.188,21408.876
t_feed50,0.470,0.447,52235.146
blank,0.023,0.,
