Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,2.09011e+5,3.08095e+5,6.86278e+5,1294.51245,589.87799,441.51282,1.55444e+4,4.40,1.751
24,9116.72461,0,4.25487e+5,1636.29761,585.85809,437.73285,5.19391e+4,4.17,2.86
48,0,0,3.38682e+5,1795.89246,828.20166,540.33142,5.05440e+4,4.08,2.86
72,0,0,1212.4,3538.44629,1222.37598,799.94623,5.67934e+4,3.86,2.91
