Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,2.03253e+5,3.04917e+5,6.77958e+5,1293.01233,595.84186,436.93289,1.52235e+4,4.40,1.572
24,8800.96191,0,4.13110e+5,1609.29565,595.37946,446.66534,6.03357e+4,4.18,2.59
48,0,0,3.87498e+5,1729.29822,999.90857,596.63898,5.25324e+4,4.14,2.61
72,0,0,1217.5,2969.42383,1225.61487,735.56085,5.02901e+4,3.92,2.63
